word,recall_probability,count,recalls,avg_frequency,need_odds,valence,arousal
class,0.125,8,1,1.625,0.14285714285714285,5.75,4.47
mine,0.06976744186046512,43,3,2.395348837209302,0.075,,
conrac,0.06818181818181818,88,6,4.7727272727272725,0.07317073170731707,,
socialist,0.06666666666666667,15,1,1.3333333333333333,0.07142857142857142,4.21,4.35
monier,0.05434782608695652,92,5,3.5217391304347827,0.05747126436781609,,
index,0.05263157894736842,19,1,1.1578947368421053,0.05555555555555555,,
j,0.047619047619047616,63,3,2.2222222222222223,0.05,,
atlas,0.04736842105263158,190,9,4.621052631578947,0.04972375690607735,5.89,2.71
cheques,0.045454545454545456,22,1,1.9090909090909092,0.047619047619047616,,
amatil,0.044444444444444446,45,2,1.8666666666666667,0.046511627906976744,,
nickel,0.043478260869565216,92,4,3.4565217391304346,0.04545454545454545,5.8,3.95
facilities,0.041666666666666664,48,2,2.2083333333333335,0.043478260869565216,5.55,3.74
steel,0.04,200,8,4.92,0.04166666666666667,4.95,3.8
sumitomo,0.0392156862745098,102,4,3.215686274509804,0.04081632653061224,,
employers,0.0379746835443038,79,3,2.632911392405063,0.039473684210526314,5.3,4.19
vs,0.037910699241786014,1187,45,3.9224936815501263,0.03940455341506129,,
stoltenberg,0.03787878787878788,132,5,3.5681818181818183,0.03937007874015748,,
cane,0.0375,80,3,2.9875,0.03896103896103896,4.68,3.05
redundancies,0.03508771929824561,57,2,2.3684210526315788,0.03636363636363636,3.9,3.1
energy,0.03482587064676617,201,7,4.293532338308458,0.03608247422680412,7.21,6.25
shearson,0.034482758620689655,87,3,2.6551724137931036,0.03571428571428571,,
compaq,0.034482758620689655,87,3,5.160919540229885,0.03571428571428571,,
proxmire,0.03343465045592705,329,11,3.8753799392097266,0.03459119496855346,,
said,0.03268551236749117,5660,185,3.480212014134276,0.033789954337899546,6.15,4.11
smc,0.03184713375796178,314,10,3.621019108280255,0.03289473684210526,,
savings,0.03076923076923077,65,2,1.9846153846153847,0.03174603174603175,7.47,3.32
cts,0.030751708428246014,878,27,3.479498861047836,0.03172737955346651,,
stauffer,0.029585798816568046,169,5,3.502958579881657,0.03048780487804878,,
mtbe,0.028169014084507043,213,6,3.164319248826291,0.028985507246376812,,
beet,0.027777777777777776,72,2,1.9722222222222223,0.02857142857142857,,
angeles,0.027777777777777776,216,6,3.2083333333333335,0.02857142857142857,,
los,0.027649769585253458,217,6,3.216589861751152,0.028436018957345974,,
de,0.027522935779816515,218,6,3.220183486238532,0.028301886792452834,,
bell,0.026845637583892617,149,4,3.771812080536913,0.027586206896551724,5.63,4.7
francs,0.02564102564102564,156,4,3.4615384615384617,0.02631578947368421,5.44,3.9
bowater,0.025423728813559324,118,3,2.4322033898305087,0.026086956521739132,,
inflow,0.02531645569620253,79,2,1.6835443037974684,0.025974025974025976,,
queensland,0.025,80,2,2.65,0.025641025641025644,,
qtrly,0.024390243902439025,41,1,1.6097560975609757,0.025,,
parties,0.024390243902439025,82,2,2.6341463414634148,0.025,7.34,6.24
nsw,0.02413793103448276,290,7,2.8241379310344827,0.02473498233215548,,
paris,0.0234375,128,3,2.421875,0.024,,
port,0.022988505747126436,261,6,2.0804597701149423,0.023529411764705882,5.62,3.28
poehl,0.022935779816513763,218,5,2.5596330275229358,0.02347417840375587,,
proposes,0.022727272727272728,44,1,1.75,0.023255813953488372,6.35,5.0
unilever,0.022598870056497175,177,4,3.2994350282485874,0.023121387283236993,,
whim,0.022556390977443608,133,3,3.030075187969925,0.023076923076923075,6.11,4.33
creek,0.022556390977443608,133,3,3.007518796992481,0.023076923076923075,6.32,2.59
nippon,0.02247191011235955,178,4,3.1292134831460676,0.022988505747126436,,
germany,0.0223463687150838,179,4,2.1675977653631286,0.022857142857142857,,
shares,0.021433850702143386,1353,29,2.4375461936437546,0.02190332326283988,6.47,3.11
ec,0.02108433734939759,332,7,2.7198795180722892,0.021538461538461538,,
palm,0.020491803278688523,488,10,3.2540983606557377,0.02092050209205021,6.05,2.71
care,0.02040816326530612,49,1,1.4489795918367347,0.020833333333333332,7.6,2.68
iv,0.02040816326530612,49,1,1.9183673469387754,0.020833333333333332,,
ucpb,0.020202020202020204,198,4,2.803030303030303,0.02061855670103093,,
issue,0.020089285714285716,448,9,2.3169642857142856,0.02050113895216401,3.95,4.55
net,0.020074349442379184,1345,27,2.2215613382899626,0.0204855842185129,5.05,2.47
ports,0.019736842105263157,304,6,2.3026315789473686,0.020134228187919462,5.62,3.28
china,0.019736842105263157,456,9,2.699561403508772,0.020134228187919462,,
netherlands,0.0196078431372549,51,1,1.2745098039215685,0.02,,
soviet,0.0196078431372549,51,1,1.8823529411764706,0.02,4.1,3.28
hikes,0.0196078431372549,102,2,2.7254901960784315,0.02,6.68,4.05
offshore,0.01935483870967742,155,3,1.5806451612903225,0.01973684210526316,4.95,3.75
rubber,0.01928374655647383,363,7,2.630853994490358,0.019662921348314606,4.3,4.05
woolworth,0.019230769230769232,104,2,2.7403846153846154,0.019607843137254905,,
jardine,0.0189873417721519,316,6,2.6044303797468356,0.01935483870967742,,
chesebrough,0.0189873417721519,158,3,2.5253164556962027,0.01935483870967742,,
montagne,0.018957345971563982,211,4,2.6445497630331753,0.019323671497584544,,
vieille,0.018957345971563982,211,4,2.6492890995260665,0.019323671497584544,,
security,0.018633540372670808,161,3,1.826086956521739,0.0189873417721519,6.3,4.11
strikes,0.018518518518518517,54,1,1.7962962962962963,0.018867924528301886,3.11,5.6
oil,0.018356643356643356,1144,21,3.0034965034965033,0.018699910952804984,3.9,4.25
surplus,0.0182370820668693,329,6,2.2796352583586628,0.018575851393188854,5.94,4.17
locke,0.01818181818181818,55,1,1.709090909090909,0.018518518518518517,,
kuroda,0.01773049645390071,282,5,2.354609929078014,0.018050541516245487,,
ban,0.017699115044247787,226,4,2.4646017699115044,0.018018018018018018,3.2,5.0
dollars,0.01764979098931723,2153,38,2.1732466326056663,0.01796690307328605,7.35,5.61
southmark,0.017543859649122806,57,1,1.8771929824561404,0.017857142857142856,,
gold,0.017191977077363897,349,6,2.5988538681948423,0.01749271137026239,7.19,7.06
redland,0.017094017094017096,117,2,2.034188034188034,0.01739130434782609,,
consumer,0.01694915254237288,59,1,1.2542372881355932,0.017241379310344827,5.95,3.38
semiconductors,0.01694915254237288,59,1,1.5593220338983051,0.017241379310344827,,
korea,0.016891891891891893,296,5,1.972972972972973,0.01718213058419244,,
wheat,0.01680672268907563,119,2,1.7647058823529411,0.017094017094017096,4.95,3.81
stg,0.016713091922005572,359,6,3.682451253481894,0.0169971671388102,,
practice,0.016666666666666666,60,1,1.05,0.01694915254237288,5.59,2.42
crop,0.01646090534979424,243,4,1.5102880658436213,0.01673640167364017,5.89,2.94
exceptional,0.01639344262295082,122,2,2.6721311475409837,0.016666666666666666,7.53,4.94
u,0.01637892872952634,2259,37,2.424524125719345,0.01665166516651665,,
dollar,0.016317016317016316,429,7,1.6433566433566433,0.01658767772511848,7.35,5.61
coffee,0.016194331983805668,247,4,2.076923076923077,0.01646090534979424,7.0,5.26
copper,0.016,125,2,2.272,0.016260162601626018,5.6,3.78
matheson,0.015873015873015872,315,5,2.2698412698412698,0.016129032258064516,,
million,0.015851137146795313,2902,46,2.8807718814610612,0.01610644257703081,7.85,5.58
issues,0.015503875968992248,129,2,1.372093023255814,0.015748031496062992,3.95,4.55
procedures,0.015384615384615385,65,1,1.1538461538461537,0.015625,4.26,4.11
cra,0.015151515151515152,132,2,2.2954545454545454,0.015384615384615385,,
louvre,0.015151515151515152,66,1,1.3181818181818181,0.015384615384615385,,
celanese,0.015037593984962405,133,2,2.345864661654135,0.015267175572519083,,
accord,0.014705882352941176,204,3,1.8627450980392157,0.014925373134328358,6.45,2.84
norway,0.014705882352941176,136,2,4.102941176470588,0.014925373134328358,,
bonus,0.014705882352941176,272,4,2.113970588235294,0.014925373134328358,8.11,6.53
cojuangco,0.014598540145985401,137,2,2.4014598540145986,0.014814814814814814,,
sugar,0.014598540145985401,548,8,2.197080291970803,0.014814814814814814,6.72,5.11
extension,0.014388489208633094,139,2,2.338129496402878,0.014598540145985403,5.1,4.05
shr,0.014319809069212411,838,12,1.7553699284009547,0.014527845036319613,,
real,0.014285714285714285,70,1,1.7142857142857142,0.014492753623188404,7.35,4.0
computers,0.014084507042253521,71,1,1.8732394366197183,0.014285714285714285,7.11,4.74
personal,0.014084507042253521,71,1,1.8873239436619718,0.014285714285714285,6.19,3.79
nl,0.013986013986013986,143,2,2.132867132867133,0.014184397163120567,,
japan,0.013911620294599018,1222,17,2.19721767594108,0.014107883817427386,,
percent,0.013894736842105264,2375,33,2.264,0.014090520922288644,5.85,3.58
gottardo,0.0136986301369863,73,1,1.6575342465753424,0.013888888888888888,,
universal,0.0136986301369863,73,1,1.821917808219178,0.013888888888888888,6.76,4.44
miguel,0.013636363636363636,440,6,1.9886363636363635,0.013824884792626727,,
san,0.013574660633484163,442,6,1.993212669683258,0.013761467889908256,,
margin,0.013422818791946308,149,2,2.2348993288590604,0.013605442176870748,4.75,3.7
growers,0.013422818791946308,149,2,2.5838926174496644,0.013605442176870748,,
suit,0.013333333333333334,225,3,1.3911111111111112,0.013513513513513514,5.71,3.0
bill,0.01327433628318584,452,6,1.904867256637168,0.013452914798206279,3.3,4.16
role,0.013157894736842105,76,1,1.4736842105263157,0.013333333333333332,5.1,4.2
zeebregts,0.013157894736842105,76,1,1.2894736842105263,0.013333333333333332,,
indonesia,0.013114754098360656,305,4,2.236065573770492,0.013289036544850497,,
standard,0.013071895424836602,153,2,2.9019607843137254,0.013245033112582781,4.9,3.47
would,0.01276595744680851,2350,30,2.1621276595744683,0.01293103448275862,5.95,3.63
bond,0.012552301255230125,478,6,1.9393305439330544,0.01271186440677966,,
burdekin,0.0125,80,1,1.6125,0.012658227848101266,,
rains,0.0125,80,1,1.5125,0.012658227848101266,6.46,3.22
mackay,0.0125,80,1,1.6125,0.012658227848101266,,
region,0.0125,80,1,2.4125,0.012658227848101266,5.4,3.15
portable,0.0125,80,1,1.7875,0.012658227848101266,6.0,3.74
west,0.012468827930174564,401,5,1.9351620947630923,0.012626262626262626,5.78,3.1
trade,0.01245753114382786,1766,22,2.008493771234428,0.01261467889908257,6.0,4.45
soybean,0.012345679012345678,243,3,2.0041152263374484,0.0125,5.3,3.5
masbate,0.012345679012345678,81,1,1.5061728395061729,0.0125,,
kuwait,0.012121212121212121,165,2,1.8848484848484848,0.012269938650306749,,
harahap,0.012121212121212121,165,2,2.0303030303030303,0.012269938650306749,,
miti,0.012106537530266344,413,5,1.74818401937046,0.012254901960784314,,
growth,0.012096774193548387,496,6,1.532258064516129,0.012244897959183673,5.75,4.95
lammers,0.012048192771084338,83,1,1.891566265060241,0.012195121951219513,,
lt,0.012036108324974924,2991,36,1.8090939485122033,0.012182741116751269,,
yen,0.012012012012012012,333,4,2.126126126126126,0.0121580547112462,5.05,2.68
cargo,0.01195219123505976,251,3,1.7330677290836654,0.012096774193548387,5.1,2.63
nil,0.011904761904761904,252,3,2.0317460317460316,0.012048192771084336,,
mining,0.011799410029498525,339,4,1.6814159292035398,0.011940298507462685,4.6,4.5
b,0.011764705882352941,595,7,1.9831932773109244,0.011904761904761904,,
