word,recall_probability,count,recalls,avg_frequency,need_odds,valence,arousal
bags,0.0681818181818181,44,3,2.75,0.073170731707317,5.1,3.21
gormley,0.054054054054054,37,2,1.1891891891891893,0.0571428571428571,,
agent,0.0526315789473684,38,2,2.1578947368421053,0.0555555555555555,5.4,3.68
chrysler,0.0421940928270042,237,10,4.924050632911392,0.0440528634361233,,
protein,0.04,25,1,1.56,0.0416666666666666,6.79,3.15
deposit,0.0379746835443038,79,3,3.0,0.0394736842105263,6.25,4.55
flour,0.0377358490566037,53,2,2.811320754716981,0.0392156862745098,5.42,2.74
honduras,0.037037037037037,54,2,2.5,0.0384615384615384,,
dns,0.037037037037037,27,1,1.2222222222222223,0.0384615384615384,,
icch,0.037037037037037,81,3,2.6049382716049383,0.0384615384615384,,
sumitomo,0.0363636363636363,55,2,3.618181818181818,0.0377358490566037,,
cominco,0.0335195530726257,179,6,3.5754189944134076,0.0346820809248554,,
mine,0.0326086956521739,92,3,3.032608695652174,0.0337078651685393,,
said,0.0320163923929051,15617,500,6.590446308509957,0.0330753456373619,6.15,4.11
cocoa,0.0308988764044943,356,11,5.969101123595506,0.0318840579710144,7.4,4.56
registered,0.0285714285714285,105,3,1.7714285714285714,0.0294117647058823,5.5,3.24
egypt,0.0285714285714285,35,1,1.6285714285714286,0.0294117647058823,,
ual,0.0279187817258883,394,11,5.538071065989848,0.0287206266318537,,
vs,0.0275265957446808,7520,207,6.345212765957447,0.028305756871325,,
heineken,0.0268336314847942,559,15,6.073345259391771,0.0275735294117647,,
tons,0.0263157894736842,76,2,2.5921052631578947,0.027027027027027,5.0,3.47
sogo,0.0263157894736842,38,1,1.0,0.027027027027027,,
conrac,0.0255102040816326,196,5,5.637755102040816,0.0261780104712041,,
townson,0.024793388429752,121,3,2.330578512396694,0.0254237288135593,,
proxmire,0.0243362831858407,452,11,5.670353982300885,0.0249433106575963,,
smc,0.0242214532871972,289,7,6.737024221453288,0.0248226950354609,,
wmc,0.0240963855421686,83,2,2.3373493975903616,0.0246913580246913,,
monier,0.0239234449760765,209,5,4.29665071770335,0.0245098039215686,,
nickel,0.0238095238095238,84,2,4.2976190476190474,0.024390243902439,5.8,3.95
shearson,0.0238095238095238,84,2,3.2857142857142856,0.024390243902439,,
renault,0.0236966824644549,211,5,3.1943127962085307,0.0242718446601941,,
