word,recall_probability,count,recalls,avg_frequency,need_odds,valence,arousal,log_freq,log_need,arousal_n
bags,0.0681818181818181,44,3,2.75,0.073170731707317,5.1,3.21,1.0116009116784799,-2.6149597780361993,0.2815198618307426
agent,0.0526315789473684,38,2,2.1578947368421053,0.0555555555555555,5.4,3.68,0.7691330875378674,-2.890371757896166,0.3626943005181347
protein,0.04,25,1,1.56,0.0416666666666666,6.79,3.15,0.44468582126144574,-3.178053830347947,0.2711571675302245
deposit,0.0379746835443038,79,3,3.0,0.0394736842105263,6.25,4.55,1.0986122886681098,-3.232121051618222,0.5129533678756476
flour,0.0377358490566037,53,2,2.811320754716981,0.0392156862745098,5.42,2.74,1.0336543923933372,-3.2386784521643803,0.20034542314335063
said,0.0320163923929051,15617,500,6.590446308509957,0.0330753456373619,6.15,4.11,1.8856210713364936,-3.4089671189265163,0.4369602763385147
cocoa,0.0308988764044943,356,11,5.969101123595506,0.0318840579710144,7.4,4.56,1.7865963505064868,-3.445649144232992,0.5146804835924006
registered,0.0285714285714285,105,3,1.7714285714285714,0.0294117647058823,5.5,3.24,0.5717863235556778,-3.5263605246161633,0.28670120898100176
tons,0.0263157894736842,76,2,2.5921052631578947,0.027027027027027,5.0,3.47,0.9524703884516574,-3.6109179126442252,0.32642487046632124
nickel,0.0238095238095238,84,2,4.2976190476190474,0.024390243902439,5.8,3.95,1.4580611594895672,-3.713572066704309,0.40932642487046633
sown,0.0227272727272727,44,1,1.2272727272727273,0.0232558139534883,5.2,3.65,0.20479441264601322,-3.7612001156935655,0.35751295336787564
dominion,0.0226876090750436,573,13,3.830715532286213,0.0232142857142857,4.62,4.65,1.3430516087945321,-3.762987426267659,0.530224525043178
bales,0.0225988700564971,177,4,3.790960451977401,0.0231213872832369,4.9,2.68,1.3326194043978525,-3.7669972333778925,0.1899827288428325
points,0.0222222222222222,45,1,1.9333333333333331,0.0227272727272727,5.55,3.89,0.6592456288842639,-3.7841896339182624,0.3989637305699482
million,0.0203410369600969,11553,235,5.118757032805332,0.0207633857572009,7.85,5.58,1.6329116425485224,-3.874564143558311,0.690846286701209
sun,0.0194174757281553,206,4,4.679611650485437,0.0198019801980198,7.05,4.97,1.5432151258209645,-3.9219733362813143,0.5854922279792746
redundancies,0.0188679245283018,106,2,2.660377358490566,0.0192307692307692,3.9,3.1,0.9784679768260465,-3.951243718581429,0.26252158894645944
cascade,0.0181818181818181,275,5,4.705454545454545,0.0185185185185185,6.2,3.11,1.5487223773942744,-3.9889840465642754,0.2642487046632124
beer,0.017094017094017,468,8,4.05982905982906,0.017391304347826,5.47,4.21,1.401140869236885,-4.05178494780331,0.4542314335060449
cotton,0.0167597765363128,179,3,3.106145251396648,0.0170454545454545,6.1,2.05,1.1333824884098274,-4.071871706370045,0.081174438687392
interstate,0.0166666666666666,240,4,3.6125,0.0169491525423728,5.0,4.56,1.2844000534385505,-4.077537443905724,0.5146804835924006
steel,0.0166481687014428,901,15,4.008879023307436,0.0169300225733634,4.95,3.8,1.388511656928538,-4.078666749502872,0.38341968911917096
cents,0.0161843368536551,7291,118,4.228912357701276,0.0164505785584832,5.42,3.8,1.4419448341567287,-4.107394631660769,0.38341968911917096
corn,0.0151515151515151,264,4,1.4393939393939394,0.0153846153846153,5.95,3.45,0.3642221495741153,-4.174387269895643,0.3229706390328152
sunflower,0.0149253731343283,134,2,1.611940298507463,0.0151515151515151,6.67,3.24,0.47743860773325375,-4.189654742026429,0.28670120898100176
airline,0.0149253731343283,134,2,1.5149253731343284,0.0151515151515151,5.29,3.9,0.415366179090876,-4.189654742026429,0.40069084628670115
dollars,0.0149210627647285,10388,155,3.830958798613785,0.0151470731945665,7.35,5.61,1.3431151109266113,-4.189947954167515,0.696027633851468
chemical,0.0146239554317548,1436,21,3.743036211699165,0.0148409893992932,4.89,3.35,1.3198971033876943,-4.210362372353921,0.30569948186528495
unemployment,0.0138888888888888,72,1,1.4722222222222223,0.0140845070422535,2.45,5.75,0.3867729750960119,-4.262679877041317,0.7202072538860104
storage,0.0137362637362637,364,5,2.980769230769231,0.0139275766016713,4.95,3.6,1.0921813983378192,-4.273884476054179,0.3488773747841105
wheat,0.0134099616858237,522,7,2.189655172413793,0.0135922330097087,4.95,3.81,0.783744075912172,-4.298256751608426,0.385146804835924
net,0.0132949561403508,7296,97,3.114720394736842,0.0134740936241144,5.05,2.47,1.1361393872915122,-4.306986427965924,0.15371329879101903
tighten,0.0131578947368421,76,1,1.9342105263157896,0.0133333333333333,4.95,5.22,0.6596992464924053,-4.317488113536313,0.6286701208981001
coffee,0.013029315960912,614,8,3.1775244299674266,0.0132013201320132,7.0,5.26,1.1561024124759687,-4.327438444389479,0.6355785837651122
metals,0.0129032258064516,310,4,3.3419354838709676,0.0130718954248366,5.05,3.47,1.2065501253402364,-4.33729074083249,0.32642487046632124
dome,0.0128205128205128,78,1,11.333333333333334,0.0129870129870129,5.95,4.16,2.4277482359480516,-4.34380542185369,0.4455958549222798
lire,0.0128205128205128,312,4,4.105769230769231,0.0129870129870129,5.6,3.06,1.4123931140872519,-4.34380542185369,0.2556131260794473
creek,0.0128205128205128,234,3,3.5085470085470085,0.0129870129870129,6.32,2.59,1.2552019940947268,-4.34380542185369,0.17443868739205523
whim,0.0127659574468085,235,3,3.497872340425532,0.0129310344827586,6.11,4.33,1.2521548809120209,-4.348125082998202,0.4749568221070812
feared,0.0127388535031847,157,2,2.1656050955414012,0.0129032258064516,2.9,6.47,0.772699812261899,-4.350277936359302,0.8445595854922279
turkey,0.0126984126984126,315,4,3.4444444444444446,0.0128617363344051,5.9,3.7,1.236762627148927,-4.353498551059347,0.36614853195164077
union,0.012290502793296,895,11,2.665921787709497,0.0124434389140271,5.95,4.16,0.980549884383006,-4.386561789839277,0.4455958549222798
copper,0.0121951219512195,328,4,2.649390243902439,0.0123456790123456,5.6,3.78,0.9743295168812484,-4.394449154672445,0.37996545768566486
employers,0.0121580547112462,329,4,1.9361702127659577,0.0123076923076923,5.3,4.19,0.6607119048067915,-4.397530821209847,0.4507772020725389
highland,0.0121212121212121,165,2,2.2,0.0122699386503067,6.0,4.74,0.7884573603642703,-4.400603020246821,0.5457685664939551
extension,0.0121107266435986,578,7,2.56401384083045,0.0122591943957968,5.1,4.05,0.9415739371836547,-4.401479060600701,0.4265975820379965
meat,0.0120160213618157,749,9,3.1401869158878504,0.0121621621621621,6.95,4.3,1.144282325501298,-4.409425608862001,0.46977547495682204
showboat,0.0118577075098814,253,3,5.632411067193676,0.012,5.0,3.89,1.7285376039752307,-4.422848629194137,0.3989637305699482
trump,0.0117302052785923,341,4,2.838709677419355,0.0118694362017804,4.29,3.89,1.0433496099930604,-4.4337885692324726,0.3989637305699482
rumor,0.0116279069767441,344,4,2.3255813953488373,0.0117647058823529,3.2,3.84,0.843970070294529,-4.44265125649032,0.39032815198618304
atlas,0.011605415860735,517,6,3.6711798839458414,0.0117416829745596,5.89,2.71,1.300513104661444,-4.444610120975657,0.19516407599309152
standard,0.0114068441064638,263,3,3.3422053231939164,0.0115384615384615,4.9,3.47,1.2066308655074125,-4.462069342347421,0.32642487046632124
yield,0.0112359550561797,178,2,1.5337078651685394,0.0113636363636363,5.4,3.95,0.42768824489287466,-4.477336814478212,0.40932642487046633
gallon,0.0111731843575419,179,2,2.88268156424581,0.0112994350282485,5.7,3.42,1.0587209596408076,-4.483002552013891,0.3177892918825561
med,0.0111524163568773,269,3,3.171003717472119,0.0112781954887218,5.05,3.79,1.15404816788984,-4.48488402011359,0.38169257340241797
motors,0.011049723756906,181,2,1.9723756906077348,0.0111731843575418,5.9,5.35,0.6792387505138133,-4.494238625280818,0.6511226252158894
gas,0.0109409190371991,1371,15,2.961342086068563,0.0110619469026548,4.24,4.37,1.085642573033464,-4.504244267398137,0.48186528497409326
poultry,0.0108932461873638,459,5,2.8366013071895426,0.0110132158590308,5.6,4.05,1.0426066127079694,-4.508659285607251,0.4265975820379965
loss,0.0108717137774263,5059,55,3.6993476971733545,0.0109912070343725,2.47,5.2,1.3081565060465934,-4.510659686354331,0.6252158894645942
percent,0.0108558178752107,9488,103,2.428014333895447,0.0109749600426212,5.85,3.58,0.8870737767611466,-4.512138960790974,0.3454231433506045
officers,0.010507880910683,571,6,2.810858143607706,0.0106194690265486,5.05,4.11,1.033489825908106,-4.545066261918393,0.4369602763385147
francs,0.010183299389002,491,5,2.9531568228105907,0.0102880658436214,5.44,3.9,1.0828747076200995,-4.576770711466393,0.40069084628670115
troops,0.0101010101010101,297,3,2.9023569023569022,0.010204081632653,5.47,4.53,1.0655231318609935,-4.584967478670578,0.5094991364421416
rubber,0.0100864553314121,694,7,2.80835734870317,0.0101892285298398,4.3,4.05,1.0325997390007562,-4.5864241431670445,0.4265975820379965
barge,0.01,200,2,2.745,0.0101010101010101,5.37,2.95,1.009781074961494,-4.59511985013459,0.2366148531951641
heating,0.0099009900990099,202,2,2.732673267326733,0.01,5.85,3.47,1.0052803488758906,-4.605170185988091,0.32642487046632124
bell,0.0098522167487684,406,4,3.1206896551724137,0.0099502487562189,5.63,4.7,1.1380540207194063,-4.610157727499131,0.538860103626943
gold,0.0098146128680479,917,9,2.371864776444929,0.0099118942731277,7.19,7.06,0.8636764712663196,-4.614019801265079,0.9464594127806563
