word,frequency,positions
said,776,"[47, 88, 122, 184, 209, 266, 322, 421, 447, 515, 568, 600, 650, 705, 736, 739, 936, 940, 996, 1074, 1103, 1163, 1166, 1275, 1278, 1346, 1496, 1499, 1560, 1650, 1679, 1714, 1754, 1806, 1809, 1864, 1909, 1961, 2033, 2055, 2078, 2083, 2119, 2139, 2236, 2287, 2329, 2364, 2441, 2446, 2538, 2620, 2626, 2679, 2776, 2890, 2896, 2944, 3003, 3023, 3089, 3092, 3194, 3228, 3266, 3332, 3352, 3362, 3384, 3466, 3543, 3648, 3729, 3784, 3795, 3839, 3870, 3908, 3932, 4001, 4023, 4091, 4096, 4150, 4239, 4269, 4305, 4312, 4366, 4379, 4405, 4562, 4583, 4718, 4763, 4784, 4838, 4880, 5087, 5221, 5263, 5342, 5422, 5427, 5467, 5582, 5585, 5638, 5641, 5700, 5725, 5785, 5854, 5952, 6007, 6028, 6114, 6192, 6327, 6351, 6535, 6553, 6635, 6680, 6789, 6972, 6989, 6992, 7017, 7086, 7162, 7194, 7265, 7299, 7335, 7388, 7489, 7492, 7591, 7668, 7700, 7725, 7736, 7898, 7937, 7982, 8016, 8076, 8137, 8149, 8209, 8252, 8288, 8307, 8378, 8414, 8442, 8467, 8515, 8537, 9130, 9612, 9627, 9738, 9836, 9894, 9923, 9972, 9989, 10027, 10064, 10084, 10096, 10301, 10434, 10466, 10523, 10553, 10586, 10617, 10854, 10921, 10958, 11030, 11088, 11202, 11278, 11310, 11381, 11415, 11447, 11474, 11574, 11600, 11738, 11793, 11817, 11835, 11858, 11992, 12207, 12272, 12316, 12374, 12384, 12526, 12581, 12650, 12714, 12741, 12794, 12811, 12877, 12913, 12945, 12986, 13009, 13121, 13209, 13375, 13412, 13459, 13490, 13527, 13556, 13618, 13648, 13687, 13690, 13741, 13744, 13784, 13866, 13869, 13953, 13974, 13978, 14014, 14046, 14116, 14157, 14195, 14368, 14509, 14522, 14560, 14749, 14931, 14960, 14995, 15090, 15209, 15284, 15540, 15689, 16012, 16041, 16078, 16154, 16206, 16252, 16285, 16315, 16319, 16426, 16457, 16503, 16550, 16581, 16608, 16669, 16699, 16738, 16741, 16798, 16801, 16825, 16846, 16867, 17012, 17102, 17169, 17320, 17406, 17426, 17482, 17506, 17564, 17567, 17599, 17713, 17772, 17845, 17959, 18004, 18075, 18109, 18149, 18402, 18480, 18526, 18541, 18596, 18621, 18862, 19184, 19208, 19261, 19297, 19324, 19328, 19414, 19433, 19479, 19777, 19798, 19853, 19867, 19905, 19976, 20128, 20283, 20298, 20319, 20350, 20404, 20449, 20452, 21369, 21399, 21575, 21626, 21703, 21810, 21848, 21851, 21924, 21972, 22018, 22228, 22301, 22306, 22330, 22576, 22685, 22718, 22732, 22812, 22883, 22891, 23170, 23351, 23376, 24043, 24120, 24123, 24136, 24207, 24248, 24303, 24318, 24364, 24392, 24431, 24435, 24457, 24668, 24672, 24702, 24836, 24985, 24988, 25052, 25056, 25112, 25232, 25258, 25508, 25788, 25897, 25933, 25975, 26042, 26116, 26173, 26207, 26273, 26297, 26402, 26411, 26451, 26623, 26652, 26700, 26737, 26816, 26911, 26967, 26986, 27016, 27097, 27120, 27124, 27185, 27188, 27207, 27270, 27285, 27343, 27398, 27435, 27536, 27574, 27593, 27634, 27670, 27814, 27828, 27878, 27971, 28274, 28314, 28425, 28470, 28508, 28522, 28547, 28563, 28610, 28670, 28728, 28745, 28749, 28798, 28830, 28871, 28877, 28906, 28947, 28955, 29339, 29375, 29410, 29436, 29453, 29531, 29555, 29615, 29639, 29674, 29725, 29796, 29800, 29927, 29943, 29982, 30064, 30097, 30139, 30184, 30349, 30375, 30393, 30431, 30446, 31119, 31183, 31202, 31348, 31363, 31386, 31438, 31480, 31517, 31536, 31659, 31702, 31706, 31848, 31924, 31952, 32006, 32011, 32048, 32092, 32153, 32391, 32422, 32453, 32502, 32680, 32738, 32760, 32946, 32960, 33017, 33037, 33092, 33139, 33165, 33241, 33278, 33292, 33329, 33332, 33361, 33399, 33486, 33514, 33541, 33581, 33683, 33722, 33872, 33924, 34005, 34028, 34046, 34226, 34298, 34396, 34445, 34504, 34594, 34653, 34688, 34754, 34796, 34813, 34886, 34920, 34935, 34978, 35016, 35020, 35043, 35115, 35295, 35363, 35421, 35449, 35484, 35564, 35603, 35661, 35701, 35705, 35737, 35769, 35821, 35847, 35910, 36031, 36043, 36182, 36255, 36277, 36447, 36484, 36613, 36637, 36683, 36721, 36748, 36778, 36823, 36858, 36922, 36942, 36943, 36987, 36990, 37042, 37107, 37134, 37203, 37206, 37253, 37414, 37552, 37611, 37741, 37769, 37835, 37851, 37876, 37913, 37969, 37980, 38040, 38076, 38158, 38173, 38295, 38340, 38352, 38407, 38555, 38673, 38791, 38817, 38917, 38971, 39045, 39171, 39214, 39299, 39340, 39382, 39438, 39457, 39526, 39570, 39599, 39643, 39683, 39721, 39748, 39774, 39830, 39879, 39954, 39981, 39995, 40073, 40101, 40163, 40186, 40306, 40318, 40422, 40461, 40473, 40642, 40772, 40865, 40880, 41134, 41199, 41249, 41252, 41277, 41299, 41444, 41501, 41526, 41541, 41577, 41586, 41625, 41643, 41689, 41776, 41863, 41891, 41894, 41932, 41990, 42004, 42058, 42092, 42121, 42145, 42217, 42273, 42277, 42375, 42452, 42561, 42861, 42896, 43021, 43043, 43078, 43092, 43193, 43264, 43329, 43354, 43424, 43693, 43703, 43765, 43860, 43866, 43979, 44011, 44123, 44229, 44243, 44280, 44344, 44401, 44461, 44536, 44569, 44601, 44725, 44739, 44794, 44833, 44873, 44892, 44978, 44997, 45068, 45081, 45154, 45225, 45281, 45418, 45443, 45538, 45653, 45692, 45704, 45784, 46082, 46108, 46428, 46446, 46477, 46584, 46687, 46702, 46724, 46795, 46848, 46881, 46936, 46985, 47022, 47059, 47160, 47286, 47341, 47434, 47539, 47596, 47625, 47670, 47697, 47783, 47869, 47968, 48037, 48060, 48101, 48139, 48161, 48187, 48234, 48271, 48313, 48334, 48350, 48372, 48389, 48647, 48690, 48707, 48751, 48779, 48824, 48869, 48934, 48963, 48977, 49007, 49349, 49409, 49753, 49760, 49831, 49944, 49947]"
million,540,"[127, 947, 969, 1093, 1100, 2217, 2225, 2384, 2825, 3815, 3918, 4824, 4828, 4910, 4952, 4957, 4962, 4967, 4986, 4991, 5003, 5008, 5015, 5020, 5028, 5033, 5039, 5044, 5050, 5056, 5063, 5069, 5081, 5095, 5127, 5141, 5162, 5176, 5491, 5765, 6015, 6039, 6298, 6306, 6343, 6418, 6424, 6438, 6463, 6468, 6488, 6501, 6508, 6545, 6837, 6844, 6860, 6882, 6887, 6897, 6903, 7682, 7746, 7838, 7849, 8754, 9196, 9252, 9692, 9718, 9881, 9889, 10079, 10215, 10221, 10863, 10876, 11593, 11608, 11633, 11642, 11655, 11669, 11711, 11767, 11806, 12100, 12344, 12360, 12427, 12486, 12591, 13383, 13387, 13440, 13444, 14668, 14685, 14694, 15346, 15351, 15391, 15396, 15430, 15435, 15440, 15445, 15485, 15490, 15518, 15523, 15533, 15550, 15563, 15570, 15590, 15609, 15637, 15649, 15725, 15733, 15743, 15751, 15976, 15981, 16085, 16102, 16131, 16144, 16911, 16962, 16967, 17019, 17049, 17164, 18018, 18033, 18063, 18259, 18264, 18317, 18322, 18363, 18368, 18460, 18465, 18670, 18675, 18886, 19225, 19242, 19427, 19511, 19516, 19581, 19604, 19608, 19813, 19827, 20669, 20674, 20681, 20686, 20710, 20722, 20739, 20794, 20799, 20806, 20811, 20830, 20835, 20865, 20875, 20880, 20896, 20940, 20945, 20962, 20978, 20983, 20988, 20993, 21017, 21022, 21043, 21048, 21065, 21070, 21097, 21112, 21117, 21135, 21869, 21899, 21904, 21909, 21914, 21949, 22117, 22123, 22128, 22133, 22148, 22154, 22159, 22164, 22368, 22739, 22790, 23264, 23472, 23489, 23501, 23506, 23565, 23857, 23862, 23878, 23883, 23969, 23975, 24171, 24188, 24287, 24298, 24378, 24512, 24524, 24529, 24548, 24554, 24559, 24564, 24573, 24580, 24590, 24606, 24619, 25326, 25332, 25340, 25358, 25375, 25400, 25468, 25472, 25484, 25490, 25499, 25505, 25523, 25529, 25541, 25546, 25555, 25567, 25623, 25647, 25674, 25679, 25686, 25697, 25705, 25715, 25721, 25740, 25746, 25753, 25767, 25773, 25816, 25822, 25827, 25832, 25849, 25855, 25860, 25865, 25890, 25915, 25926, 25964, 26233, 26246, 26354, 26359, 26568, 26581, 27490, 27495, 27520, 27523, 27706, 27711, 27736, 27741, 27913, 27918, 27924, 27929, 28022, 28027, 28032, 28037, 28052, 28057, 28062, 28067, 28116, 28121, 28160, 28165, 28171, 28176, 28205, 28210, 28216, 28221, 28233, 28591, 28701, 29357, 30272, 30277, 30483, 30488, 30515, 30520, 30577, 30582, 30608, 30613, 30656, 30661, 30694, 30706, 30711, 30875, 30880, 30893, 30911, 31171, 31176, 31214, 31338, 32273, 32278, 32811, 32816, 32835, 32840, 33180, 33200, 33215, 33232, 33693, 33959, 33971, 33995, 34062, 34076, 34124, 34129, 34168, 34173, 34200, 34215, 34368, 34631, 34666, 34693, 34701, 35162, 35167, 35173, 35178, 35203, 35208, 35214, 35219, 35457, 35469, 35495, 35510, 35570, 35588, 35712, 35741, 35760, 35986, 36354, 36375, 37067, 37070, 37123, 37139, 37164, 37197, 37216, 37222, 37725, 38610, 38626, 38822, 39156, 39348, 39364, 39377, 39656, 39729, 40147, 40151, 40172, 40256, 40341, 40349, 40369, 40385, 40546, 40766, 40838, 40844, 40849, 40852, 40886, 40906, 40937, 40948, 41018, 41036, 41315, 41360, 41365, 41397, 41402, 41457, 41512, 41593, 41638, 42020, 42669, 42672, 42690, 42693, 42696, 42739, 42744, 42754, 42960, 43011, 43105, 43113, 43157, 43175, 43339, 43347, 43373, 43599, 43604, 43637, 43642, 43726, 43924, 43964, 43969, 44032, 44052, 44070, 44219, 44259, 44270, 44276, 44293, 44311, 44317, 44334, 44419, 44434, 44441, 44628, 44656, 44803, 44828, 44860, 45041, 45052, 45097, 45103, 45114, 45126, 45138, 45150, 45172, 45178, 45188, 45200, 45215, 45221, 45241, 45253, 45266, 45278, 46282, 46285, 46304, 46307, 46312, 46360, 46365, 46370, 46615, 46620, 46658, 47854, 48166, 49437, 49443, 49456, 49462, 49500, 49506, 49511, 49515, 49557, 49563, 49586, 49592, 49601, 49607, 49613, 49619, 49624, 49630, 49635, 49641, 49688, 49694, 49706, 49712]"
vs,397,"[4916, 4924, 4932, 4942, 4953, 4963, 4987, 5004, 5016, 5029, 5040, 5052, 5065, 6884, 6899, 6912, 6924, 14288, 14837, 14844, 14854, 14865, 14872, 14882, 15039, 15049, 15327, 15336, 15347, 15359, 15370, 15381, 15392, 15404, 15423, 15431, 15441, 15463, 15474, 15486, 15496, 15507, 15519, 15662, 15675, 15768, 15775, 15784, 15803, 15810, 15834, 15850, 15874, 15881, 15892, 15901, 15929, 15936, 15946, 15957, 15966, 15977, 16361, 16367, 16377, 16388, 16394, 16404, 16896, 16903, 16912, 16925, 16939, 16951, 16963, 16975, 17248, 17255, 17265, 18183, 18192, 18203, 18226, 18233, 18240, 18249, 18260, 18300, 18309, 18318, 18330, 18342, 18353, 18364, 18376, 18443, 18450, 18461, 18651, 18660, 18671, 18729, 19011, 19031, 19372, 19383, 19396, 19502, 19512, 19522, 19532, 19542, 19554, 19567, 19606, 19627, 19636, 19663, 19671, 19680, 19692, 19707, 19717, 19726, 19738, 20047, 21892, 21900, 21910, 22108, 22118, 22129, 22138, 22149, 22160, 22187, 22197, 22397, 22404, 22414, 22427, 23446, 23455, 23468, 23480, 23490, 23502, 23519, 23533, 23552, 23567, 23588, 23604, 23624, 23642, 23660, 23683, 23691, 23745, 23759, 23772, 23783, 23799, 23823, 23848, 23858, 23868, 23879, 23898, 23924, 23931, 23940, 23953, 23971, 24503, 24513, 24525, 24537, 24549, 24560, 24575, 25806, 25817, 25828, 25838, 25850, 25861, 26339, 26346, 26355, 26887, 27471, 27480, 27491, 27501, 27510, 27521, 27688, 27697, 27707, 27718, 27727, 27737, 27894, 27903, 27914, 27925, 28015, 28023, 28033, 28045, 28053, 28063, 28097, 28106, 28117, 28138, 28149, 28161, 28172, 28183, 28194, 28206, 28217, 29104, 29113, 29124, 29142, 29151, 29162, 29844, 30223, 30236, 30253, 30262, 30273, 30464, 30473, 30484, 30494, 30505, 30516, 30528, 30538, 30559, 30568, 30578, 30588, 30597, 30609, 30634, 30645, 30657, 30669, 30683, 30695, 30707, 30719, 30769, 30783, 30856, 30865, 30876, 30966, 30992, 31018, 31045, 31070, 31096, 31790, 32211, 32219, 32229, 32242, 32253, 32263, 32274, 32286, 32301, 32311, 32614, 32621, 32652, 32788, 32799, 32812, 32822, 32830, 32836, 32846, 32864, 34109, 34116, 34125, 34137, 34147, 34158, 34169, 34181, 35133, 35140, 35152, 35163, 35174, 35184, 35193, 35204, 35215, 36551, 36566, 37060, 37068, 37076, 38433, 38462, 38471, 38480, 38490, 38501, 38512, 39269, 39280, 40227, 40827, 40839, 40850, 40969, 40993, 41335, 41349, 41361, 41372, 41386, 41398, 42651, 42662, 42670, 42676, 42687, 42694, 42720, 42729, 42740, 42750, 42760, 43443, 43452, 43463, 43475, 43487, 43498, 43509, 43521, 43577, 43588, 43600, 43613, 43626, 43638, 43945, 43954, 43965, 44615, 44624, 44634, 44644, 44654, 46265, 46276, 46283, 46290, 46301, 46308, 46326, 46335, 46346, 46356, 46366, 46379, 46600, 46607, 46616, 49439, 49458, 49481, 49493, 49502, 49513, 49522, 49559, 49588, 49603, 49615, 49626, 49637, 49690, 49708]"
dollars,344,"[128, 177, 346, 373, 491, 504, 1444, 1486, 2218, 2316, 2385, 2572, 2826, 3919, 4612, 5321, 5329, 5367, 5388, 5441, 5464, 5485, 5531, 5767, 5968, 6016, 6040, 6705, 8055, 8096, 8755, 8857, 9032, 9092, 9326, 9452, 9466, 10127, 10155, 10216, 11434, 11461, 13139, 13152, 13289, 13297, 13314, 13322, 13348, 14129, 14136, 14229, 14268, 14481, 14491, 14598, 14669, 14675, 14686, 15374, 15661, 15674, 15726, 15734, 15744, 15752, 15833, 15838, 15849, 15854, 15891, 16086, 16103, 16132, 16145, 16938, 17020, 17050, 17063, 17165, 17222, 18019, 18025, 18034, 18064, 18070, 18341, 18346, 18552, 18559, 18578, 18616, 19010, 19015, 19030, 19035, 19371, 19376, 19428, 19501, 19506, 19582, 19588, 19605, 19706, 19716, 19889, 19902, 20204, 20209, 21719, 21870, 22011, 22044, 22051, 22142, 22369, 22740, 22767, 22791, 22850, 23028, 23265, 23302, 23479, 23518, 23524, 23532, 23538, 23558, 23566, 23573, 23594, 23603, 23610, 23623, 23628, 23641, 23646, 23659, 23664, 23744, 23749, 23758, 23763, 23847, 23852, 23970, 23976, 24289, 24299, 24379, 24428, 24443, 24451, 24502, 24536, 24542, 24574, 24581, 24591, 24607, 24620, 25289, 25327, 25333, 25359, 25376, 25401, 25469, 25485, 25500, 25524, 25556, 25624, 25648, 25675, 25698, 25716, 25741, 25768, 25774, 25843, 26234, 26247, 26309, 26319, 27338, 27552, 27756, 27761, 28044, 28234, 28254, 28261, 28702, 28840, 28849, 28887, 28895, 28919, 29358, 29517, 29994, 30015, 30498, 30633, 30682, 30688, 30739, 30768, 30774, 30782, 30788, 30804, 30834, 30894, 30912, 31897, 32733, 33181, 33192, 33201, 33216, 33222, 33233, 33389, 33694, 34146, 34151, 34201, 34216, 34369, 34480, 34501, 34632, 34667, 34673, 34694, 34715, 34738, 34869, 35571, 35577, 35589, 35595, 35612, 35624, 35713, 35742, 35761, 35882, 35890, 36152, 36355, 36361, 36376, 36382, 36550, 36555, 36565, 36570, 37059, 37064, 37124, 37165, 37171, 37198, 38611, 38627, 38633, 38823, 38855, 39268, 39349, 39365, 39535, 39657, 39905, 40148, 40152, 40173, 40615, 40826, 40832, 40887, 40938, 40949, 41019, 41037, 41316, 41340, 41377, 41458, 41513, 41594, 41639, 42021, 42608, 42613, 42681, 42961, 43002, 43012, 43106, 43158, 43167, 43176, 43220, 43225, 43340, 43348, 43374, 43486, 43491, 43548, 43556, 43612, 43618, 43925, 44033, 44420, 44435, 44442, 44455, 44701, 44829, 44861, 45360, 45382, 45397, 45902, 45935, 46017, 46051, 46062, 46191, 46201, 46224, 46231, 46295, 46659, 46745, 47855]"
cents,247,"[4894, 10973, 14287, 14294, 14836, 14839, 14864, 14867, 15038, 15041, 15048, 15051, 15326, 15329, 15369, 15422, 15425, 15462, 15466, 15495, 15499, 15664, 15677, 15767, 15770, 15802, 15873, 15928, 15931, 15956, 15959, 16120, 16136, 16895, 16898, 16942, 17247, 17250, 18038, 18182, 18186, 18225, 18228, 18232, 18235, 18239, 18242, 18299, 18302, 18442, 18445, 18650, 18653, 18688, 18693, 18706, 18711, 18728, 18731, 19626, 19629, 19662, 19665, 19670, 19673, 19709, 19719, 20046, 20053, 20062, 20398, 21891, 21894, 22107, 22111, 22137, 22396, 22399, 23445, 23449, 23483, 23682, 23771, 23774, 23782, 23785, 23798, 23801, 23822, 23825, 23897, 23923, 23926, 23930, 23933, 24506, 25805, 25810, 25837, 26238, 26251, 26338, 26341, 26886, 26889, 27470, 27473, 27500, 27503, 27687, 27691, 27717, 27721, 27893, 27896, 28014, 28017, 28047, 28096, 28099, 28137, 28141, 28182, 28186, 29103, 29107, 29141, 29145, 29843, 29846, 29997, 30018, 30222, 30225, 30235, 30238, 30252, 30255, 30463, 30466, 30493, 30527, 30530, 30537, 30540, 30558, 30562, 30587, 30591, 30637, 30855, 30858, 30898, 30916, 30965, 30968, 30991, 30996, 31017, 31022, 31044, 31049, 31069, 31074, 31095, 31100, 31789, 31796, 32210, 32213, 32252, 32255, 32299, 32304, 32310, 32314, 32613, 32651, 32658, 32787, 32790, 32798, 32805, 32829, 32832, 32858, 32868, 34108, 34111, 34636, 35132, 35135, 35139, 35142, 35183, 35186, 36402, 36409, 37128, 38432, 38439, 38461, 38465, 38489, 38493, 39369, 40004, 40048, 40177, 40226, 40231, 40618, 40968, 40971, 40992, 40995, 41334, 41371, 41410, 41421, 41677, 41699, 41739, 42624, 42650, 42654, 42719, 42722, 43442, 43445, 43576, 43580, 43650, 43664, 43748, 43895, 43929, 43944, 43947, 44614, 44617, 46264, 46268, 46325, 46328, 46599, 46602]"
lt,241,"[223, 280, 430, 2355, 2419, 2505, 3745, 3759, 3976, 4778, 4868, 4975, 5719, 6021, 6050, 6057, 6092, 6104, 6285, 6395, 6517, 6719, 6779, 6937, 7607, 7635, 7759, 7802, 7816, 7855, 7876, 10021, 10042, 10246, 10611, 10634, 10728, 10915, 11699, 12112, 12393, 12980, 13055, 13069, 13369, 13999, 14006, 14105, 14273, 14313, 14335, 14356, 14535, 14586, 14825, 15315, 15413, 15450, 15680, 15758, 15793, 15863, 15917, 16029, 16238, 16271, 16350, 16884, 16997, 17233, 17948, 18172, 18213, 18289, 18394, 18427, 18530, 18636, 18719, 19136, 19360, 19404, 19490, 19617, 19647, 19767, 19858, 20033, 20288, 20331, 21800, 21827, 21880, 21959, 22098, 22208, 22217, 22320, 22385, 22508, 22538, 22587, 23020, 23034, 23056, 23131, 23139, 23435, 23672, 23789, 23813, 23836, 23888, 23913, 23998, 24005, 24355, 24487, 25240, 25794, 26162, 26328, 26392, 26617, 26877, 26906, 26954, 27009, 27217, 27230, 27274, 27459, 27675, 27884, 27959, 27976, 28004, 28083, 28127, 28350, 28372, 28385, 29019, 29039, 29072, 29093, 29132, 29668, 29835, 29873, 29918, 29972, 30240, 30288, 30452, 30546, 30619, 30754, 30846, 31301, 31775, 32142, 32200, 32604, 32637, 32671, 32776, 32892, 33128, 33642, 33664, 33677, 34097, 34346, 34581, 35121, 35555, 35789, 36281, 37048, 37096, 38054, 38063, 38419, 38449, 38543, 38912, 38941, 38947, 39250, 39257, 39288, 39327, 39687, 39808, 39947, 39986, 40063, 40214, 40573, 40709, 40813, 40855, 40927, 40958, 40983, 41183, 41323, 41431, 41472, 41669, 41994, 42008, 42047, 42441, 42476, 42579, 42590, 42640, 42710, 42929, 43066, 43431, 43564, 43754, 43974, 44348, 44604, 44673, 44717, 44815, 46249, 46316, 46590, 46646, 47777, 47788, 47824, 47847, 48133, 49545]"
year,226,"[348, 479, 658, 827, 943, 1089, 1202, 1268, 1303, 1450, 2474, 3819, 3907, 4157, 4475, 4513, 5369, 5408, 5449, 5511, 5570, 5963, 6140, 6609, 6665, 6686, 6711, 6875, 7426, 7845, 8027, 8892, 8900, 8942, 9256, 9468, 9503, 9600, 9766, 9848, 10223, 10260, 10311, 11569, 12314, 13019, 13050, 13146, 13176, 13197, 13279, 13304, 13644, 13754, 13813, 14168, 14236, 14242, 14245, 14256, 14744, 15164, 15491, 15703, 15705, 16877, 16931, 16984, 17155, 17956, 17994, 18044, 18146, 18336, 18436, 18644, 18749, 18808, 18814, 18865, 18915, 19609, 21301, 21384, 21427, 21945, 22134, 22202, 22374, 22474, 22652, 22683, 22744, 22752, 22805, 22839, 22893, 23473, 23540, 23575, 23612, 23666, 24165, 24291, 24453, 24460, 24530, 24583, 24864, 25379, 25474, 25569, 25688, 25723, 25755, 25833, 25919, 26563, 27949, 28225, 28578, 28704, 28808, 28983, 29136, 29511, 30022, 30084, 30583, 30728, 30793, 31341, 31360, 31379, 31579, 31712, 32248, 32316, 33088, 33151, 33169, 33205, 34026, 34089, 34143, 34483, 34765, 35501, 35581, 35764, 36293, 36326, 36369, 36389, 36411, 36698, 36815, 37084, 37101, 37115, 37191, 37738, 38575, 38641, 38670, 38737, 38765, 38772, 38803, 38875, 38890, 39244, 39359, 39757, 39931, 40115, 40128, 40274, 40627, 40817, 40951, 41130, 41366, 41426, 41762, 41928, 41971, 42673, 43109, 43232, 43260, 43350, 43367, 43481, 43559, 43910, 44020, 44168, 44458, 44659, 44753, 44825, 45012, 45058, 45105, 45128, 45159, 45227, 45255, 45303, 45352, 45384, 45912, 45937, 45997, 46020, 46182, 46209, 46286, 46490, 46738, 47664, 47692, 48205, 48221, 49471]"
percent,214,"[351, 672, 907, 925, 952, 976, 1211, 1224, 1232, 1308, 1333, 1383, 1387, 1391, 1395, 1400, 1411, 1415, 1419, 2402, 2407, 2832, 3085, 3153, 3460, 3715, 4073, 4108, 4141, 4877, 5382, 5397, 5435, 5458, 5605, 5612, 6085, 6101, 6111, 6273, 6458, 6483, 6496, 6809, 7813, 7872, 8584, 8666, 8887, 8898, 8917, 8926, 9419, 9531, 9535, 10071, 10624, 10671, 11538, 11549, 11566, 11666, 11680, 11757, 12490, 12568, 12599, 13089, 13804, 14165, 14608, 15581, 15601, 15622, 15995, 16025, 16538, 16543, 16570, 16690, 16760, 17670, 17677, 18162, 18504, 18516, 19553, 19558, 19566, 19571, 20135, 20617, 20699, 20732, 20752, 20824, 20855, 20886, 20905, 20955, 21007, 21059, 21087, 21127, 21177, 21774, 21789, 21856, 22003, 22459, 22666, 22681, 22715, 22831, 22854, 23363, 24367, 24422, 24942, 25000, 25076, 25081, 25101, 25106, 25269, 25580, 25585, 25631, 26000, 26016, 26060, 26071, 26559, 26573, 26591, 26836, 26943, 27264, 27352, 27378, 27585, 28464, 29353, 30281, 30299, 30314, 30931, 31138, 31195, 31209, 31252, 31275, 31313, 31597, 31650, 32747, 33084, 33121, 33134, 33143, 33348, 33355, 33544, 33712, 34782, 35489, 37002, 37812, 37821, 37829, 38623, 39002, 39078, 39119, 39127, 39167, 39220, 39226, 39390, 39404, 39742, 39780, 39817, 39848, 39864, 41987, 42350, 42436, 42485, 43802, 44713, 45010, 45029, 45089, 45121, 45145, 45167, 45195, 45210, 45248, 45273, 46378, 46383, 47644, 47655, 47662, 47724, 47752, 47818, 49396, 49673, 49743, 49805, 49854]"
u,211,"[5, 16, 57, 70, 117, 262, 306, 356, 401, 415, 453, 494, 537, 581, 653, 690, 761, 771, 858, 2289, 2312, 2798, 2906, 2978, 3126, 4184, 4196, 4211, 4226, 4245, 4278, 4291, 4315, 4361, 4381, 4419, 4428, 4444, 4484, 4517, 4527, 4556, 4568, 4596, 4618, 4678, 4742, 5071, 5296, 5310, 5925, 6474, 6528, 6765, 6950, 7074, 7081, 7094, 7151, 7196, 7972, 8008, 8051, 8202, 8223, 8238, 8570, 9856, 9900, 10169, 10373, 10407, 10419, 10468, 10494, 10534, 10572, 10581, 11190, 11197, 11210, 11267, 11312, 11467, 11585, 12475, 13588, 13875, 14343, 14728, 14795, 15524, 16234, 16248, 16312, 17076, 17715, 17766, 17781, 19093, 21479, 22435, 22447, 22464, 22654, 22779, 22821, 22921, 22965, 23420, 24173, 24190, 24217, 24254, 24311, 24466, 24968, 25060, 25086, 26631, 27152, 28339, 28391, 28573, 28601, 28624, 29197, 29242, 29304, 29331, 29383, 29391, 29458, 29502, 29641, 29854, 29862, 29899, 29912, 30098, 30979, 31228, 32322, 32437, 32461, 32481, 32908, 33071, 33654, 34228, 34269, 35285, 35330, 35513, 36891, 36992, 37441, 37452, 37682, 37814, 39520, 39623, 39637, 39672, 40259, 40300, 40372, 40396, 40405, 40455, 40523, 41049, 41306, 41747, 41805, 41934, 42103, 42200, 42228, 42263, 42288, 42340, 42354, 42391, 42415, 42765, 44079, 44116, 44728, 45000, 45014, 45320, 45492, 45568, 45659, 45874, 47172, 47212, 47237, 47292, 47356, 47374, 47398, 47972, 47981, 48008, 48074, 48089, 48284, 48593, 49030]"
net,199,"[3525, 3809, 3827, 6539, 6839, 6862, 6876, 6918, 10209, 12583, 13016, 13378, 14833, 14840, 14868, 15323, 15330, 15375, 15419, 15426, 15458, 15467, 15500, 15764, 15771, 15799, 15806, 15823, 15877, 15895, 15925, 15932, 15960, 16037, 16358, 16363, 16390, 16892, 16899, 16944, 16985, 17041, 17156, 17243, 17251, 18178, 18187, 18221, 18243, 18303, 18347, 18439, 18446, 18647, 18654, 19247, 19366, 19377, 19496, 19507, 19576, 19623, 19630, 19653, 19674, 19720, 21888, 21895, 22112, 22143, 22393, 22400, 23450, 23484, 23509, 23542, 23577, 23615, 23630, 23678, 23687, 23698, 23842, 23853, 23919, 23934, 23962, 24359, 24373, 24507, 24543, 25244, 25322, 25532, 25548, 25573, 25614, 25626, 25641, 25693, 25709, 25811, 25844, 26342, 27017, 27062, 27467, 27474, 27504, 27683, 27692, 27722, 27890, 27897, 27933, 28018, 28048, 28093, 28100, 28133, 28142, 28187, 28226, 29099, 29108, 29146, 30249, 30256, 30460, 30467, 30499, 30563, 30592, 30627, 30638, 30689, 30729, 30758, 30794, 30819, 30852, 30859, 31141, 31167, 32206, 32215, 32257, 32294, 32610, 32617, 32784, 32807, 32833, 34105, 34112, 34152, 34195, 34210, 35129, 35146, 35187, 37054, 37065, 37158, 38466, 38494, 38601, 39263, 39274, 40123, 40833, 41342, 41379, 42646, 42655, 42682, 42716, 42723, 42995, 43153, 43439, 43446, 43492, 43539, 43581, 43619, 43890, 43941, 43948, 44611, 44618, 46269, 46296, 46322, 46329, 46596, 46603, 49467, 49507]"
