word,recall_probability,count,recalls,avg_frequency,need_odds
bags,0.06818181818181818,44,3,2.75,0.07317073170731707
gormley,0.05405405405405406,37,2,1.1891891891891893,0.05714285714285715
agent,0.05263157894736842,38,2,2.1578947368421053,0.05555555555555555
chrysler,0.04219409282700422,237,10,4.924050632911392,0.04405286343612335
protein,0.04,25,1,1.56,0.04166666666666667
deposit,0.0379746835443038,79,3,3.0,0.039473684210526314
flour,0.03773584905660377,53,2,2.811320754716981,0.0392156862745098
honduras,0.037037037037037035,54,2,2.5,0.03846153846153846
dns,0.037037037037037035,27,1,1.2222222222222223,0.03846153846153846
icch,0.037037037037037035,81,3,2.6049382716049383,0.03846153846153846
sumitomo,0.03636363636363636,55,2,3.618181818181818,0.03773584905660377
cominco,0.0335195530726257,179,6,3.5754189944134076,0.03468208092485549
mine,0.03260869565217391,92,3,3.032608695652174,0.033707865168539325
said,0.032016392392905164,15617,500,6.590446308509957,0.03307534563736191
cocoa,0.03089887640449438,356,11,5.969101123595506,0.03188405797101449
registered,0.02857142857142857,105,3,1.7714285714285714,0.029411764705882353
egypt,0.02857142857142857,35,1,1.6285714285714286,0.029411764705882353
ual,0.027918781725888325,394,11,5.538071065989848,0.028720626631853787
vs,0.027526595744680853,7520,207,6.345212765957447,0.028305756871325038
heineken,0.026833631484794274,559,15,6.073345259391771,0.027573529411764705
tons,0.02631578947368421,76,2,2.5921052631578947,0.027027027027027025
sogo,0.02631578947368421,38,1,1.0,0.027027027027027025
conrac,0.025510204081632654,196,5,5.637755102040816,0.02617801047120419
townson,0.024793388429752067,121,3,2.330578512396694,0.025423728813559324
proxmire,0.024336283185840708,452,11,5.670353982300885,0.02494331065759637
smc,0.02422145328719723,289,7,6.737024221453288,0.024822695035460994
wmc,0.024096385542168676,83,2,2.3373493975903616,0.02469135802469136
monier,0.023923444976076555,209,5,4.29665071770335,0.024509803921568627
nickel,0.023809523809523808,84,2,4.2976190476190474,0.024390243902439025
shearson,0.023809523809523808,84,2,3.2857142857142856,0.024390243902439025
renault,0.023696682464454975,211,5,3.1943127962085307,0.024271844660194174
sown,0.022727272727272728,44,1,1.2272727272727273,0.023255813953488372
dominion,0.02268760907504363,573,13,3.830715532286213,0.02321428571428571
bales,0.022598870056497175,177,4,3.790960451977401,0.023121387283236993
datron,0.02240325865580448,491,11,4.95315682281059,0.022916666666666665
volcker,0.022388059701492536,134,3,4.007462686567164,0.022900763358778622
points,0.022222222222222223,45,1,1.9333333333333333,0.022727272727272728
amatil,0.022222222222222223,90,2,2.1222222222222222,0.022727272727272728
tunisia,0.02097902097902098,143,3,3.4755244755244754,0.02142857142857143
million,0.020341036960096946,11553,235,5.118757032805332,0.02076338575720092
teck,0.02030456852791878,197,4,2.979695431472081,0.020725388601036267
montedison,0.020253164556962026,395,8,4.756962025316455,0.020671834625323
agrimont,0.019801980198019802,303,6,4.676567656765677,0.020202020202020204
sun,0.019417475728155338,206,4,4.679611650485437,0.0198019801980198
heller,0.01904761904761905,420,8,4.695238095238095,0.01941747572815534
burlington,0.01903114186851211,578,11,3.3183391003460208,0.019400352733686066
redundancies,0.018867924528301886,106,2,2.660377358490566,0.01923076923076923
koehler,0.018691588785046728,428,8,2.883177570093458,0.019047619047619046
mtbe,0.018518518518518517,270,5,4.933333333333334,0.018867924528301886
mpt,0.01839080459770115,435,8,4.4528735632183905,0.01873536299765808
los,0.01824817518248175,274,5,4.759124087591241,0.01858736059479554
angeles,0.01824817518248175,274,5,4.748175182481752,0.01858736059479554
cascade,0.01818181818181818,275,5,4.705454545454545,0.018518518518518517
zeeuw,0.01812688821752266,331,6,4.688821752265861,0.018461538461538463
williams,0.01808785529715762,387,7,3.0697674418604652,0.018421052631578946
beet,0.017391304347826087,115,2,1.7652173913043478,0.017699115044247787
netherlands,0.017241379310344827,58,1,1.3448275862068966,0.017543859649122806
carney,0.017142857142857144,175,3,3.2685714285714287,0.01744186046511628
beer,0.017094017094017096,468,8,4.05982905982906,0.01739130434782609
cotton,0.01675977653631285,179,3,3.106145251396648,0.017045454545454544
stg,0.016713091922005572,1077,18,5.095636025998143,0.0169971671388102
interstate,0.016666666666666666,240,4,3.6125,0.01694915254237288
steel,0.016648168701442843,901,15,4.008879023307436,0.016930022573363433
harcourt,0.016194331983805668,247,4,4.145748987854251,0.01646090534979424
cents,0.016184336853655192,7291,118,4.228912357701276,0.0164505785584832
aluminium,0.015306122448979591,196,3,3.6479591836734695,0.015544041450777202
corn,0.015151515151515152,264,4,1.4393939393939394,0.015384615384615385
sunflower,0.014925373134328358,134,2,1.6119402985074627,0.015151515151515152
airline,0.014925373134328358,134,2,1.5149253731343284,0.015151515151515152
dollars,0.014921062764728533,10388,155,3.830958798613785,0.015147073194566598
soriano,0.014778325123152709,203,3,1.748768472906404,0.015
chemical,0.014623955431754874,1436,21,3.7430362116991645,0.014840989399293287
norway,0.014285714285714285,280,4,4.664285714285715,0.014492753623188404
nippon,0.014234875444839857,281,4,3.8220640569395017,0.014440433212996389
arango,0.014084507042253521,71,1,1.732394366197183,0.014285714285714285
hamley,0.014084507042253521,71,1,1.8309859154929577,0.014285714285714285
unemployment,0.013888888888888888,72,1,1.4722222222222223,0.01408450704225352
storage,0.013736263736263736,364,5,2.980769230769231,0.013927576601671309
pampa,0.0136986301369863,73,1,1.4794520547945205,0.013888888888888888
brito,0.0136986301369863,146,2,2.23972602739726,0.013888888888888888
alexanders,0.013636363636363636,220,3,3.1636363636363636,0.013824884792626727
wheat,0.013409961685823755,522,7,2.189655172413793,0.013592233009708738
net,0.013294956140350877,7296,97,3.114720394736842,0.013474093624114461
iae,0.013245033112582781,151,2,2.8609271523178808,0.013422818791946308
tighten,0.013157894736842105,76,1,1.9342105263157894,0.013333333333333332
coffee,0.013029315960912053,614,8,3.1775244299674266,0.013201320132013201
vieille,0.012987012987012988,308,4,3.4545454545454546,0.013157894736842106
montagne,0.012987012987012988,308,4,3.4448051948051948,0.013157894736842106
metals,0.012903225806451613,310,4,3.3419354838709676,0.013071895424836602
dome,0.01282051282051282,78,1,11.333333333333334,0.012987012987012986
lire,0.01282051282051282,312,4,4.105769230769231,0.012987012987012986
creek,0.01282051282051282,234,3,3.5085470085470085,0.012987012987012986
whim,0.01276595744680851,235,3,3.497872340425532,0.01293103448275862
feared,0.012738853503184714,157,2,2.1656050955414012,0.012903225806451613
turkey,0.012698412698412698,315,4,3.4444444444444446,0.012861736334405145
wojnilower,0.012539184952978056,319,4,3.376175548589342,0.012698412698412697
jardine,0.012396694214876033,484,6,3.225206611570248,0.012552301255230125
union,0.012290502793296089,895,11,2.665921787709497,0.012443438914027148
nsw,0.012219959266802444,491,6,3.6130346232179225,0.012371134020618556
copper,0.012195121951219513,328,4,2.649390243902439,0.01234567901234568
employers,0.0121580547112462,329,4,1.9361702127659575,0.012307692307692308
cpa,0.012145748987854251,247,3,2.7975708502024292,0.012295081967213115
highland,0.012121212121212121,165,2,2.2,0.012269938650306749
